Sparsity Level,Epoch,Training Accuracy,Validation Accuracy
0,1,0.9206,0.9707
0,2,0.9683,0.9797
0,3,0.9763,0.9803
0,4,0.9807,0.9832
0,5,0.983,0.983
0,6,0.9851,0.983
0,7,0.9861,0.983
0,8,0.9876,0.9835
0,9,0.9885,0.9835
0.25,1,0.9171,0.954
0.25,2,0.9501,0.96
0.25,3,0.9603,0.9662
0.25,4,0.9675,0.9718
0.25,5,0.9715,0.9742
0.5,1,0.9847,0.979
0.5,2,0.9856,0.9783
0.5,3,0.9855,0.9785
0.5,4,0.9861,0.9805
0.5,5,0.9872,0.979
0.95,1,0.9659,0.9718
0.95,2,0.9751,0.9747
0.95,3,0.9792,0.9752
0.95,4,0.9814,0.9775
0.95,5,0.9826,0.9775
